ticker,initial_capital,final_capital,net_profit,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,total_trades,winning_trades,losing_trades,period
INDES.IS,8500.0,13985.72,5485.72,64.54,32.85,-7.49,100.0,5,5,0,16.05.2025 → 17.04.2026
EREGL.IS,8500.0,13103.22,4603.22,54.16,19.24,-4.37,87.5,8,7,1,16.05.2025 → 17.04.2026
KAYSE.IS,8500.0,13677.0,5177.0,60.91,15.68,-8.37,87.5,8,7,1,16.05.2025 → 17.04.2026
FROTO.IS,8500.0,10267.42,1767.42,20.79,14.1,-7.05,80.0,5,4,1,16.05.2025 → 17.04.2026
ESCOM.IS,8500.0,17460.05,8960.05,105.41,13.72,-10.99,75.0,8,6,2,16.05.2025 → 17.04.2026
TUPRS.IS,8500.0,12317.48,3817.48,44.91,13.49,-7.97,83.3,6,5,1,16.05.2025 → 17.04.2026
FRIGO.IS,8500.0,12734.82,4234.82,49.82,13.43,-12.31,75.0,8,6,2,16.05.2025 → 17.04.2026
AYGAZ.IS,8500.0,12533.53,4033.53,47.45,13.02,-4.7,71.4,7,5,2,16.05.2025 → 17.04.2026
ATATP.IS,8500.0,11883.33,3383.33,39.8,12.87,-9.72,80.0,5,4,1,16.05.2025 → 17.04.2026
DOCO.IS,8500.0,11923.64,3423.64,40.28,11.47,-11.26,66.7,6,4,2,16.05.2025 → 17.04.2026
GLYHO.IS,8500.0,11151.91,2651.91,31.2,10.95,-8.89,60.0,5,3,2,16.05.2025 → 17.04.2026
GOZDE.IS,8500.0,11583.8,3083.8,36.28,10.79,-10.37,85.7,7,6,1,16.05.2025 → 17.04.2026
ENKAI.IS,8500.0,12655.57,4155.57,48.89,9.26,-10.11,80.0,10,8,2,16.05.2025 → 17.04.2026
YKBNK.IS,8500.0,13666.03,5166.03,60.78,8.8,-14.41,60.0,10,6,4,16.05.2025 → 17.04.2026
TAVHL.IS,8500.0,11674.12,3174.12,37.34,8.66,-9.35,77.8,9,7,2,16.05.2025 → 17.04.2026
HDFGS.IS,8500.0,12467.37,3967.37,46.67,8.63,-16.44,66.7,6,4,2,16.05.2025 → 17.04.2026
ALKIM.IS,8500.0,11324.0,2824.0,33.22,8.51,-15.02,55.6,9,5,4,16.05.2025 → 17.04.2026
CRDFA.IS,8500.0,11060.53,2560.53,30.12,8.38,-18.42,71.4,7,5,2,16.05.2025 → 17.04.2026
CIMSA.IS,8500.0,10629.24,2129.24,25.05,8.03,-12.75,62.5,8,5,3,16.05.2025 → 17.04.2026
SISE.IS,8500.0,11263.33,2763.33,32.51,7.89,-13.17,62.5,8,5,3,16.05.2025 → 17.04.2026
BRSAN.IS,8500.0,11769.55,3269.55,38.47,7.78,-11.26,57.1,7,4,3,16.05.2025 → 17.04.2026
CUSAN.IS,8500.0,11256.97,2756.97,32.43,7.4,-15.15,57.1,7,4,3,16.05.2025 → 17.04.2026
INFO.IS,8500.0,10633.04,2133.04,25.09,7.37,-20.54,60.0,5,3,2,16.05.2025 → 17.04.2026
TOASO.IS,8500.0,10479.92,1979.92,23.29,7.28,-16.22,57.1,7,4,3,16.05.2025 → 17.04.2026
GESAN.IS,8500.0,10173.63,1673.63,19.69,7.21,-10.1,60.0,5,3,2,16.05.2025 → 17.04.2026
HALKB.IS,8500.0,11354.12,2854.12,33.58,7.13,-15.0,62.5,8,5,3,16.05.2025 → 17.04.2026
BASGZ.IS,8500.0,10523.52,2023.52,23.81,7.09,-11.09,66.7,9,6,3,16.05.2025 → 17.04.2026
ENJSA.IS,8500.0,9888.12,1388.12,16.33,7.03,-14.47,66.7,6,4,2,16.05.2025 → 17.04.2026
INGRM.IS,8500.0,11120.2,2620.2,30.83,7.0,-10.55,66.7,9,6,3,16.05.2025 → 17.04.2026
AFYON.IS,8500.0,10570.43,2070.43,24.36,6.95,-8.51,60.0,10,6,4,16.05.2025 → 17.04.2026
BAYRK.IS,8500.0,13116.65,4616.65,54.31,6.92,-27.07,80.0,10,8,2,16.05.2025 → 17.04.2026
ASELS.IS,8500.0,11232.89,2732.89,32.15,6.75,-16.79,62.5,8,5,3,16.05.2025 → 17.04.2026
GSDHO.IS,8500.0,9936.71,1436.71,16.9,6.22,-13.7,66.7,6,4,2,16.05.2025 → 17.04.2026
AEFES.IS,8500.0,10325.02,1825.02,21.47,5.95,-9.91,57.1,7,4,3,16.05.2025 → 17.04.2026
EUREN.IS,8500.0,12010.78,3510.78,41.3,5.54,-21.99,60.0,10,6,4,16.05.2025 → 17.04.2026
