ticker,date,vec_score,live_score,delta,base_score,base_vs_vec_delta
TEST.IS,2023-01-02,34.0,34.0,0.0,34.0,0.0
TEST.IS,2023-01-03,2.0,2.0,0.0,2.0,0.0
TEST.IS,2023-01-04,2.0,2.0,0.0,2.0,0.0
TEST.IS,2023-01-05,-3.0,-3.0,0.0,-3.0,0.0
TEST.IS,2023-01-06,12.0,12.0,0.0,12.0,0.0
TEST.IS,2023-01-07,3.0,3.0,0.0,3.0,0.0
TEST.IS,2023-01-08,3.0,3.0,0.0,3.0,0.0
TEST.IS,2023-01-09,3.0,3.0,0.0,3.0,0.0
TEST.IS,2023-01-10,3.0,3.0,0.0,3.0,0.0
TEST.IS,2023-01-11,1.0,1.0,0.0,1.0,0.0
TEST.IS,2023-01-12,1.0,1.0,0.0,1.0,0.0
TEST.IS,2023-01-13,6.0,6.0,0.0,6.0,0.0
TEST.IS,2023-01-14,0.6,0.6,0.0,-12.0,12.6
TEST.IS,2023-01-15,0.6,0.6,0.0,-12.0,12.6
TEST.IS,2023-01-16,-0.3,-0.3,0.0,-15.0,14.7
TEST.IS,2023-01-17,-0.3,-0.3,0.0,-15.0,14.7
TEST.IS,2023-01-18,-0.3,-0.3,0.0,-15.0,14.7
TEST.IS,2023-01-19,-31.0,-31.0,0.0,-31.0,0.0
TEST.IS,2023-01-20,0.0,0.0,0.0,-13.0,13.0
TEST.IS,2023-01-21,0.0,0.0,0.0,-6.0,6.0
TEST.IS,2023-01-22,0.0,0.0,0.0,-10.0,10.0
TEST.IS,2023-01-23,0.0,0.0,0.0,0.0,0.0
TEST.IS,2023-01-24,0.0,0.0,0.0,19.0,-19.0
TEST.IS,2023-01-25,0.0,0.0,0.0,24.0,-24.0
TEST.IS,2023-01-26,0.0,0.0,0.0,24.0,-24.0
TEST.IS,2023-01-27,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-01-28,-7.2,-7.2,0.0,11.0,-18.2
TEST.IS,2023-01-29,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-01-30,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-01-31,-11.9,-11.9,0.0,14.0,-25.9
TEST.IS,2023-02-01,-9.3,-9.3,0.0,11.0,-20.3
TEST.IS,2023-02-02,-10.5,-10.5,0.0,7.0,-17.5
TEST.IS,2023-02-03,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-02-04,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-02-05,-1.4,-1.4,0.0,14.0,-15.4
