ticker,window_idx,date,bb_position,cci,dist_to_resistance_pct,raw_score,capped_score,capped,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,h6_contradiction,sma20_slope_diff,ema_long_slope_dir
AEFES.IS,1,2024-11-07 00:00:00,ABOVE_UPPER,139.4440437296581,1.0784373765540958,29.200000000000003,10.0,YES,63,7,0,41,41,False,-4.18769817352295,-1
AEFES.IS,2,2024-12-06 00:00:00,ABOVE_UPPER,172.08531518118718,0.219881903748681,42.0,10.0,YES,63,0,0,3,3,False,0.9470446586608894,1
AKBNK.IS,4,2025-06-03 00:00:00,ABOVE_UPPER,220.34557053299753,0.9883184581850936,25.8,10.0,YES,63,3,2,0,0,False,-11.40052337646484,-1
ASELS.IS,3,2025-02-27 00:00:00,MIDDLE,111.56636274465376,0.3888871934678784,47.0,10.0,YES,63,2,1,0,0,False,12.743761825561535,1
ASELS.IS,5,2025-09-16 00:00:00,ABOVE_UPPER,218.22312969789147,0.6659851803699076,29.200000000000003,10.0,YES,63,1,2,0,0,False,25.817106628417974,1
ASELS.IS,7,2026-04-08 00:00:00,ABOVE_UPPER,156.87254314078223,1.173222912353347,30.0,10.0,YES,63,14,1,0,0,False,31.787499999999966,1
ASTOR.IS,6,2026-01-08 00:00:00,ABOVE_UPPER,136.66393252118996,1.1272154269555483,29.599999999999994,10.0,YES,63,3,4,13,13,False,17.762501144409185,1
ASTOR.IS,7,2026-02-18 00:00:00,ABOVE_UPPER,164.16629112501099,2.8907889765869896,30.799999999999997,10.0,YES,63,1,2,0,0,False,62.29250068664551,1
ASTOR.IS,7,2026-03-25 00:00:00,ABOVE_UPPER,177.59821141458974,0.8126180559470949,28.200000000000003,10.0,YES,63,3,4,0,0,False,47.634999847412104,1
BIMAS.IS,7,2026-01-29 00:00:00,MIDDLE,138.64977916449888,0.6666666666666637,28.200000000000003,10.0,YES,63,0,0,0,0,False,36.22154846191404,1
BIMAS.IS,7,2026-04-08 00:00:00,ABOVE_UPPER,252.08320104825518,1.7894012388162441,25.799999999999997,10.0,YES,63,3,2,0,0,False,19.486009216308616,1
DSTKF.IS,1,2026-04-20 00:00:00,ABOVE_UPPER,157.31004753847407,1.2173913043478262,30.0,10.0,YES,63,5,11,0,0,False,1097.5,1
DSTKF.IS,2,2026-06-19 00:00:00,ABOVE_UPPER,158.44625112917797,1.5625,30.0,10.0,YES,63,2,6,0,0,False,410.54999999999995,1
EKGYO.IS,3,2025-01-28 00:00:00,MIDDLE,112.72654324296677,0.0,33.8,10.0,YES,63,1,0,0,0,False,2.669209909439086,1
EKGYO.IS,3,2025-03-03 00:00:00,ABOVE_UPPER,203.49736059428406,2.1825391944694057,29.200000000000003,10.0,YES,63,2,2,0,0,False,0.5248500823974602,1
EREGL.IS,3,2025-03-05 00:00:00,MIDDLE,58.65814502764445,0.4212334041063406,37.6,10.0,YES,63,5,3,8,8,False,-2.2547407150268555,-1
EREGL.IS,3,2025-03-06 00:00:00,ABOVE_UPPER,180.5731400473606,0.0,35.2,10.0,YES,63,5,3,8,8,False,-2.0407016754150398,-1
EREGL.IS,7,2026-04-08 00:00:00,MIDDLE,157.70600887333478,2.5693037004501105,37.6,10.0,YES,63,7,4,7,7,False,0.8849669456481948,1
EREGL.IS,7,2026-04-21 00:00:00,MIDDLE,162.10568792056347,2.2538502195147707,27.0,10.0,YES,63,8,4,7,7,False,0.8425438880920417,1
FROTO.IS,4,2025-06-30 00:00:00,MIDDLE,98.45379355457268,0.0,31.6,10.0,YES,63,5,5,4,4,False,-11.49719314575195,-1
GUBRF.IS,2,2024-11-22 00:00:00,ABOVE_UPPER,213.26093200732578,3.529414424189815,34.2,10.0,YES,63,4,1,7,7,False,24.28499832153321,1
GUBRF.IS,2,2024-12-31 00:00:00,MIDDLE,60.16176722136691,0.8710801393728222,25.799999999999997,10.0,YES,63,7,3,7,7,False,82.53750076293946,1
GUBRF.IS,4,2025-07-21 00:00:00,MIDDLE,152.75728094987394,0.6951340615690168,26.6,10.0,YES,63,0,1,38,38,False,-46.102499389648415,-1
GUBRF.IS,6,2026-01-19 00:00:00,MIDDLE,130.98543137410425,0.4557291666666667,29.799999999999997,10.0,YES,63,7,4,0,0,False,45.80000000000001,1
ISCTR.IS,2,2024-11-21 00:00:00,MIDDLE,131.34173783880777,0.4545486400278972,29.6,10.0,YES,63,1,1,3,3,False,-1.1543969154357914,-1
ISCTR.IS,4,2025-06-03 00:00:00,MIDDLE,133.32405154385236,0.9674552135832071,31.8,10.0,YES,63,9,4,0,0,False,-3.2901085853576664,-1
ISCTR.IS,6,2026-01-21 00:00:00,MIDDLE,99.76954846014063,0.13450207073030512,29.6,10.0,YES,63,5,3,12,12,False,1.524864292144775,1
MGROS.IS,2,2025-01-29 00:00:00,ABOVE_UPPER,164.79481297177497,0.6034482758620587,28.200000000000003,10.0,YES,63,4,4,6,6,False,74.79331054687498,1
MGROS.IS,5,2025-11-10 00:00:00,ABOVE_UPPER,260.7395091431705,1.485148514851489,29.0,10.0,YES,63,0,6,3,3,False,-14.865158081054688,-1
MGROS.IS,7,2026-05-13 00:00:00,MIDDLE,151.62863191901587,2.0,34.8,10.0,YES,63,5,2,28,28,False,20.324224853515602,1
PETKM.IS,3,2025-03-06 00:00:00,ABOVE_UPPER,177.7608139783122,0.28490681813587587,33.0,10.0,YES,63,3,2,2,2,False,-1.811499977111815,-1
PETKM.IS,4,2025-05-12 00:00:00,ABOVE_UPPER,240.06179191611815,0.0,29.0,10.0,YES,63,0,1,0,0,False,-0.27500009536743164,-1
PETKM.IS,7,2026-03-13 00:00:00,ABOVE_UPPER,156.10255919479883,3.1777622462392845,35.2,10.0,YES,63,1,0,15,15,False,1.5829998970031767,1
PGSUS.IS,7,2026-04-14 00:00:00,MIDDLE,151.23993424096352,1.8706573414346002,33.6,10.0,YES,63,1,4,15,15,False,-26.179999542236317,-1
SISE.IS,3,2025-03-11 00:00:00,MIDDLE,172.9454394087674,2.2177446102500262,27.9,10.0,YES,63,11,1,3,3,False,-4.898808097839357,-1
SISE.IS,7,2026-03-23 00:00:00,ABOVE_UPPER,122.14545476509137,0.0,26.799999999999997,10.0,YES,63,5,5,0,0,False,4.119460678100587,1
THYAO.IS,2,2024-11-25 00:00:00,ABOVE_UPPER,127.45996538674173,1.3502109704641323,45.2,10.0,YES,63,0,2,0,0,False,-12.198835754394509,-1
TOASO.IS,3,2025-04-21 00:00:00,ABOVE_UPPER,360.8854351484864,0.0,40.0,10.0,YES,63,2,4,37,37,False,-30.658573150634766,-1
TOASO.IS,3,2025-04-24 00:00:00,ABOVE_UPPER,235.44435872181424,1.3235279158049886,34.6,10.0,YES,63,3,4,37,37,False,-26.51632156372068,-1
TOASO.IS,5,2025-09-15 00:00:00,MIDDLE,98.77330868670589,0.28790786948176195,40.0,10.0,YES,63,4,1,0,0,False,36.44847717285154,1
TRALT.IS,5,2025-11-19 00:00:00,ABOVE_UPPER,177.9432718835452,1.7675410945770103,32.0,10.0,YES,63,1,3,17,17,False,4.96999988555908,1
