ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,counter_trend_multiplier,rows
AKBNK.IS,OK,7,4.26,5.86,-5.9057,-9.7914,25.95,True,0.3,753
ARCLK.IS,OK,7,-2.4271,-2.07,-7.0871,-3.8271,-21.04,False,0.3,753
ASELS.IS,OK,7,10.4271,10.93,-5.8229,13.1986,48.67,True,0.3,753
ASTOR.IS,OK,7,5.9886,10.27,-7.8686,-0.58,-18.4543,False,0.3,753
BIMAS.IS,OK,8,-1.1287,-0.785,-8.5113,-0.0925,16.7562,True,0.3,756
EKGYO.IS,OK,7,-0.3629,-2.77,-10.1629,-26.0457,21.2629,True,0.3,753
ENKAI.IS,OK,7,2.3086,2.68,-10.0429,-3.4771,22.5286,True,0.3,753
EREGL.IS,OK,7,1.1371,3.76,-9.3171,-11.0557,2.2714,False,0.3,754
FROTO.IS,OK,7,-4.5443,-1.78,-8.1229,-47.6614,-14.1457,False,0.3,754
GARAN.IS,OK,7,0.1571,0.0,-7.1871,-14.65,17.0671,True,0.3,753
GUBRF.IS,OK,7,8.9229,2.66,-9.2471,64.4557,45.5743,True,0.3,753
HEKTS.IS,OK,7,-7.1771,0.52,-15.6629,4.3186,-48.7386,False,0.3,753
ISCTR.IS,OK,7,5.4957,6.79,-7.7143,-2.8643,56.7757,True,0.3,753
KCHOL.IS,OK,7,-0.3814,3.32,-9.9343,-81.2914,4.5243,True,0.3,753
KONTR.IS,OK,7,-13.7557,-3.68,-25.5071,-12.6686,-54.7014,False,0.3,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,0.3,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,0.3,0
KRDMD.IS,OK,7,5.11,5.99,-6.8957,3.9457,5.2571,False,0.3,753
ODAS.IS,OK,7,0.8143,0.0,-8.3786,-3.26,-5.0986,False,0.3,753
OYAKC.IS,OK,7,1.5114,0.0,-4.7014,13.1543,-2.8671,False,0.3,754
PETKM.IS,OK,7,3.6714,3.85,-5.9871,-3.5557,1.8514,False,0.3,753
PGSUS.IS,OK,7,-2.5443,-0.35,-9.1529,-5.7457,-0.9257,False,0.3,754
SAHOL.IS,OK,7,8.3157,10.52,-5.6429,17.0343,28.6029,True,0.3,753
SASA.IS,OK,7,-2.96,-1.67,-14.1814,-5.6543,-16.3529,False,0.3,754
SISE.IS,OK,7,6.3486,7.22,-5.7,0.0371,4.9857,False,0.3,753
TAVHL.IS,OK,7,2.1,1.28,-6.6443,9.9914,-8.6114,False,0.3,753
TCELL.IS,OK,7,-0.9471,0.0,-5.8057,0.0686,22.2429,True,0.3,753
THYAO.IS,OK,7,0.9929,1.45,-7.5186,-25.4814,-5.1686,False,0.3,753
TOASO.IS,OK,7,3.85,0.0,-4.09,-0.5071,0.3786,False,0.3,753
TUPRS.IS,OK,7,6.9614,6.88,-6.3171,15.2229,16.3229,True,0.3,753
