ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,buy_threshold,total_oos_trades,counter_trend_multiplier,obv_divergence_cap,gates,rows
AEFES.IS,OK,7,0.6029,0.0,-6.3186,0.6143,10.7086,True,25.0,8,0.0,15.0,ON,755
AKBNK.IS,OK,7,3.7214,2.32,-4.5743,0.9343,10.7614,True,25.0,6,0.0,15.0,ON,754
ASELS.IS,OK,7,2.5143,7.05,-9.0486,-163.7443,11.0329,True,25.0,11,0.0,15.0,ON,754
ASTOR.IS,OK,7,8.6529,0.0,-5.46,6.0343,9.7129,False,25.0,8,0.0,15.0,ON,754
BIMAS.IS,OK,8,2.6925,2.48,-5.485,0.84,2.1275,False,25.0,10,0.0,15.0,ON,757
DSTKF.IS,OK,2,-10.085,-10.085,-15.095,0.0,77.4,True,25.0,2,0.0,15.0,ON,391
EKGYO.IS,OK,7,-2.3429,0.0,-4.2271,-19.9729,-5.8886,False,25.0,5,0.0,15.0,ON,754
ENKAI.IS,OK,7,4.7429,7.08,-6.81,-10.6943,6.2886,False,25.0,8,0.0,15.0,ON,754
EREGL.IS,OK,7,2.13,2.94,-5.3957,0.0,-6.0829,False,25.0,7,0.0,15.0,ON,755
FROTO.IS,OK,7,-2.2829,-2.3,-5.3971,-35.5514,-5.57,False,25.0,7,0.0,15.0,ON,755
GARAN.IS,OK,7,2.3186,0.66,-3.9643,2.2329,-1.2143,False,25.0,6,0.0,15.0,ON,754
GUBRF.IS,OK,7,1.5814,-0.57,-7.26,0.6743,-1.3286,False,25.0,9,0.0,15.0,ON,754
ISCTR.IS,OK,7,-1.1457,0.0,-5.6286,0.0,12.5771,True,25.0,6,0.0,15.0,ON,754
KCHOL.IS,OK,7,-3.0714,0.0,-6.6429,-102.2414,-4.7057,False,25.0,6,0.0,15.0,ON,754
KRDMD.IS,OK,7,4.5571,3.26,-6.0871,4.0729,5.6771,False,25.0,8,0.0,15.0,ON,754
MGROS.IS,OK,7,3.7857,0.0,-6.2757,5.1014,-9.3743,False,25.0,9,0.0,15.0,ON,754
PETKM.IS,OK,7,-2.1114,-1.3,-5.76,-300.6686,-13.2086,False,25.0,12,0.0,15.0,ON,754
PGSUS.IS,OK,7,-4.5229,-4.74,-10.0971,-11.7871,-13.83,False,25.0,11,0.0,15.0,ON,755
SAHOL.IS,OK,7,3.8871,1.74,-5.3571,-0.3857,24.1729,True,25.0,8,0.0,15.0,ON,754
SASA.IS,OK,7,-2.5529,0.0,-9.9814,0.3571,-9.6671,False,25.0,8,0.0,15.0,ON,755
SISE.IS,OK,7,0.0043,0.0,-7.4943,-69.7714,-0.8071,False,25.0,10,0.0,15.0,ON,754
TAVHL.IS,OK,7,-4.03,-6.91,-5.8071,-86.3057,3.9857,True,25.0,8,0.0,15.0,ON,754
TCELL.IS,OK,7,0.2214,0.0,-4.7229,0.0,9.3586,True,25.0,5,0.0,15.0,ON,754
THYAO.IS,OK,7,1.2843,0.0,-3.2229,1.2729,2.9571,True,25.0,6,0.0,15.0,ON,754
TOASO.IS,OK,7,1.2586,0.0,-5.4686,-0.0229,10.2357,True,25.0,6,0.0,15.0,ON,754
TRALT.IS,OK,7,1.7671,-0.49,-8.3057,7.7386,-0.9614,False,25.0,8,0.0,15.0,ON,754
TTKOM.IS,OK,7,1.4671,2.5,-8.6157,-36.1914,7.0871,True,25.0,9,0.0,15.0,ON,754
TUPRS.IS,OK,7,-2.2357,-0.12,-6.8314,-157.6457,7.7229,True,25.0,11,0.0,15.0,ON,754
VAKBN.IS,OK,7,3.5286,2.52,-5.7929,1.53,3.6,False,25.0,9,0.0,15.0,ON,754
YKBNK.IS,OK,7,-0.2686,0.0,-7.3343,0.6257,19.7771,True,25.0,8,0.0,15.0,ON,754
