ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,buy_threshold,total_oos_trades,counter_trend_multiplier,obv_divergence_cap,gates,rows
AKBNK.IS,OK,7,4.5614,4.62,-7.8343,-4.3714,14.7529,True,18.0,11,0.0,15.0,ON,753
ARCLK.IS,OK,7,-1.2986,-0.55,-6.6471,-0.3486,-8.6343,False,18.0,9,0.0,15.0,ON,753
ASELS.IS,OK,7,13.3214,10.12,-8.1014,50.8857,69.5243,True,18.0,14,0.0,15.0,ON,753
ASTOR.IS,OK,7,5.67,-1.32,-10.1929,1350.9714,-15.5671,False,18.0,16,0.0,15.0,ON,753
BIMAS.IS,OK,8,-1.595,1.58,-9.5875,-6.2075,-5.1575,False,18.0,16,0.0,15.0,ON,756
EKGYO.IS,OK,7,-4.4529,-7.29,-13.8586,-38.5186,4.3286,True,18.0,14,0.0,15.0,ON,753
ENKAI.IS,OK,7,1.2429,-0.6,-10.3229,-3.7629,11.41,True,18.0,12,0.0,15.0,ON,753
EREGL.IS,OK,7,0.0686,-0.59,-10.1614,-21.4057,-2.01,False,18.0,12,0.0,15.0,ON,754
FROTO.IS,OK,7,-2.4357,-4.47,-7.9057,-49.5771,-5.0857,False,18.0,13,0.0,15.0,ON,754
GARAN.IS,OK,7,6.92,10.79,-7.6314,20.0529,25.2543,True,18.0,16,0.0,15.0,ON,753
GUBRF.IS,OK,7,3.6971,8.03,-8.4343,1.4886,31.8157,True,18.0,13,0.0,15.0,ON,753
HEKTS.IS,OK,7,-8.5657,-2.75,-17.3557,-9.28,-48.2514,False,18.0,12,0.0,15.0,ON,753
ISCTR.IS,OK,7,2.6271,9.64,-9.4929,-53.96,24.2729,True,18.0,12,0.0,15.0,ON,753
KCHOL.IS,OK,7,-2.3686,0.0,-9.4457,-59.9329,1.7186,True,18.0,13,0.0,15.0,ON,753
KONTR.IS,OK,7,-12.64,-11.09,-23.19,-9.2243,-26.3571,False,18.0,19,0.0,15.0,ON,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,,,0.0,,ON,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,,,0.0,,ON,0
KRDMD.IS,OK,7,2.5514,5.4,-12.8843,-14.0214,15.0757,True,18.0,13,0.0,15.0,ON,753
ODAS.IS,OK,7,-5.2986,-3.63,-10.8171,-1231.4514,-20.9571,False,18.0,13,0.0,15.0,ON,753
OYAKC.IS,OK,7,3.9771,0.0,-10.9171,15.0843,30.2114,True,18.0,15,0.0,15.0,ON,754
PETKM.IS,OK,7,4.9771,2.47,-8.4614,341.3514,-12.19,False,18.0,10,0.0,15.0,ON,753
PGSUS.IS,OK,7,-1.8386,0.0,-8.8429,-1.7014,-0.3557,False,18.0,12,0.0,15.0,ON,754
SAHOL.IS,OK,7,0.9814,2.46,-8.1929,11.5086,8.14,True,18.0,12,0.0,15.0,ON,753
SASA.IS,OK,7,-4.5986,-1.72,-12.0014,-6.6329,-17.5957,False,18.0,15,0.0,15.0,ON,754
SISE.IS,OK,7,0.2543,1.77,-9.2771,-11.6957,-7.05,False,18.0,16,0.0,15.0,ON,753
TAVHL.IS,OK,7,-3.6086,-6.36,-10.5914,10.1243,42.1586,True,18.0,11,0.0,15.0,ON,753
TCELL.IS,OK,7,1.09,0.0,-3.0257,0.0,12.19,True,18.0,4,0.0,15.0,ON,753
THYAO.IS,OK,7,-0.84,-4.37,-8.1943,-16.4257,0.1257,True,18.0,13,0.0,15.0,ON,753
TOASO.IS,OK,7,3.4871,5.6,-6.8957,-1.1986,12.69,True,18.0,11,0.0,15.0,ON,753
TUPRS.IS,OK,7,3.2157,2.03,-8.7086,6.3157,3.0343,False,18.0,17,0.0,15.0,ON,753
