ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,counter_trend_multiplier,gates,rows
AKBNK.IS,OK,7,4.48,4.74,-5.8143,0.0,5.7971,False,1.0,OFF,753
ARCLK.IS,OK,7,0.77,0.0,-4.31,1.7443,-14.7286,False,1.0,OFF,753
ASELS.IS,OK,7,11.7043,10.93,-6.5429,13.4257,43.4971,True,1.0,OFF,753
ASTOR.IS,OK,7,7.77,7.44,-7.5429,49.6314,-5.8686,False,1.0,OFF,753
BIMAS.IS,OK,8,-1.04,-1.445,-8.525,0.5763,2.3737,True,1.0,OFF,756
EKGYO.IS,OK,7,-0.4414,0.0,-9.1571,-14.7314,27.86,True,1.0,OFF,753
ENKAI.IS,OK,7,3.3986,3.1,-9.6043,-0.3043,29.4457,True,1.0,OFF,753
EREGL.IS,OK,7,5.2786,10.57,-6.4571,-0.0243,0.5771,False,1.0,OFF,754
FROTO.IS,OK,7,-1.1,-1.53,-8.4457,-32.4529,11.5357,True,1.0,OFF,754
GARAN.IS,OK,7,3.6529,3.59,-8.9486,0.0329,19.8657,True,1.0,OFF,753
GUBRF.IS,OK,7,3.5786,2.65,-9.1057,1.1143,45.17,True,1.0,OFF,753
HEKTS.IS,OK,7,-6.1571,0.0,-16.4914,-1.6557,-42.8957,False,1.0,OFF,753
ISCTR.IS,OK,7,1.7286,10.26,-8.2814,-15.98,24.48,True,1.0,OFF,753
KCHOL.IS,OK,7,0.3457,1.52,-8.0786,-12.7557,17.2714,True,1.0,OFF,753
KONTR.IS,OK,7,-12.7586,-6.31,-25.2471,-13.8971,-32.8843,False,1.0,OFF,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,OFF,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,OFF,0
KRDMD.IS,OK,7,2.2943,7.7,-11.4114,-14.5714,13.1186,True,1.0,OFF,753
ODAS.IS,OK,7,1.6614,-0.71,-8.2786,-62.9671,-0.1929,False,1.0,OFF,753
OYAKC.IS,OK,7,4.1971,3.61,-5.55,-1.7786,11.93,True,1.0,OFF,754
PETKM.IS,OK,7,7.9543,8.13,-5.6186,460.71,7.6929,False,1.0,OFF,753
PGSUS.IS,OK,7,-1.2929,-1.11,-8.7286,-2.6743,2.03,True,1.0,OFF,754
SAHOL.IS,OK,7,5.6557,3.4,-7.85,9.0086,32.6886,True,1.0,OFF,753
SASA.IS,OK,7,-3.0429,-7.0,-16.0886,-1.0171,-19.4743,False,1.0,OFF,754
SISE.IS,OK,7,2.6986,1.76,-7.0329,2.2957,3.5057,False,1.0,OFF,753
TAVHL.IS,OK,7,10.2386,11.61,-5.7729,21.1171,5.5914,False,1.0,OFF,753
TCELL.IS,OK,7,-2.1314,0.0,-6.8543,-1.0586,21.0186,True,1.0,OFF,753
THYAO.IS,OK,7,2.3014,2.69,-6.7957,4.6657,11.0229,True,1.0,OFF,753
TOASO.IS,OK,7,4.3843,4.41,-5.7471,-2.1086,6.7786,False,1.0,OFF,753
TUPRS.IS,OK,7,7.6257,8.8,-6.0786,11.26,28.2286,True,1.0,OFF,753
