ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,counter_trend_multiplier
AKBNK.IS,OK,7,4.26,3.9929,0.2671,-5.9386,24.0071,True,True,False,0.3
ARCLK.IS,OK,7,-2.4271,-2.7471,0.32,-7.1871,-22.5657,False,False,False,0.3
ASELS.IS,OK,7,10.4271,10.0186,0.4085,-5.89,45.8914,True,True,False,0.3
ASTOR.IS,OK,7,5.9886,5.6343,0.3543,-7.9186,-19.9514,False,False,True,0.3
BIMAS.IS,OK,8,-1.1287,-1.6162,0.4875,-8.6913,14.6062,True,True,False,0.3
EKGYO.IS,OK,7,-0.3629,-0.8286,0.4657,-10.3957,18.5986,True,True,False,0.3
ENKAI.IS,OK,7,2.3086,1.8229,0.4857,-10.2086,20.6057,True,True,False,0.3
EREGL.IS,OK,7,1.1371,0.66,0.4771,-9.5129,-0.1186,False,False,True,0.3
FROTO.IS,OK,7,-4.5443,-5.0257,0.4814,-8.3357,-15.9786,False,False,False,0.3
GARAN.IS,OK,7,0.1571,-0.21,0.3671,-7.34,15.1786,True,True,False,0.3
GUBRF.IS,OK,7,8.9229,8.3686,0.5543,-9.3429,42.6186,True,True,False,0.3
HEKTS.IS,OK,7,-7.1771,-7.6143,0.4372,-15.8143,-49.8714,False,False,False,0.3
ISCTR.IS,OK,7,5.4957,4.9871,0.5086,-7.8929,53.5343,True,True,False,0.3
KCHOL.IS,OK,7,-0.3814,-0.9429,0.5615,-10.1957,2.1357,True,True,False,0.3
KONTR.IS,OK,7,-13.7557,-14.3471,0.5914,-25.82,-55.8929,False,False,False,0.3
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.3
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.3
KRDMD.IS,OK,7,5.11,4.6486,0.4614,-7.0071,3.2629,False,False,True,0.3
ODAS.IS,OK,7,0.8143,0.4786,0.3357,-8.5071,-6.58,False,False,True,0.3
OYAKC.IS,OK,7,1.5114,1.1657,0.3457,-4.8543,-4.62,False,False,True,0.3
PETKM.IS,OK,7,3.6714,3.2514,0.42,-6.1957,0.0829,False,False,True,0.3
PGSUS.IS,OK,7,-2.5443,-3.0043,0.46,-9.3943,-3.0414,False,False,False,0.3
SAHOL.IS,OK,7,8.3157,7.8614,0.4543,-5.7471,26.4571,True,True,False,0.3
SASA.IS,OK,7,-2.96,-3.5014,0.5414,-14.4057,-17.7614,False,False,False,0.3
SISE.IS,OK,7,6.3486,5.9457,0.4029,-5.7686,3.2443,False,False,True,0.3
TAVHL.IS,OK,7,2.1,1.6871,0.4129,-6.7257,-9.8371,False,False,True,0.3
TCELL.IS,OK,7,-0.9471,-1.2429,0.2958,-5.9071,20.1971,True,True,False,0.3
THYAO.IS,OK,7,0.9929,0.43,0.5629,-7.7757,-6.8086,False,False,True,0.3
TOASO.IS,OK,7,3.85,3.5786,0.2714,-4.1386,-1.3886,False,False,True,0.3
TUPRS.IS,OK,7,6.9614,6.3443,0.6171,-6.4943,13.5771,True,True,False,0.3
