ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,obv_divergence_cap,mtf_confluence_block_enabled
AKBNK.IS,OK,7,3.8829,3.6043,0.2786,-4.36,14.8486,True,True,False,0.0,ON,753,325,417,230,230,15.0,True
ARCLK.IS,OK,7,-2.5471,-2.69,0.1429,-3.7229,-5.0657,False,False,False,0.0,ON,753,410,331,204,204,15.0,True
ASELS.IS,OK,7,12.2386,11.67,0.5686,-7.2771,34.1614,True,True,False,0.0,ON,753,289,451,87,87,15.0,True
ASTOR.IS,OK,7,6.4043,5.9543,0.45,-8.0614,7.8443,False,False,True,0.0,ON,753,304,439,174,174,15.0,True
BIMAS.IS,OK,8,-2.2388,-2.655,0.4162,-7.4537,3.0125,True,True,False,0.0,ON,756,336,411,139,139,15.0,True
EKGYO.IS,OK,7,0.8514,0.4886,0.3628,-9.2714,-8.44,False,False,True,0.0,ON,753,273,470,278,278,15.0,True
ENKAI.IS,OK,7,0.9743,0.5957,0.3786,-9.2914,0.2286,False,False,True,0.0,ON,753,329,415,145,145,15.0,True
EREGL.IS,OK,7,-1.2357,-1.5686,0.3329,-7.64,5.6514,True,True,False,0.0,ON,754,333,409,180,180,15.0,True
FROTO.IS,OK,7,-1.3557,-1.7686,0.4129,-5.0029,-3.5243,False,False,False,0.0,ON,754,415,330,178,178,15.0,True
GARAN.IS,OK,7,2.2029,1.8286,0.3743,-7.6871,11.4171,True,True,False,0.0,ON,753,332,412,210,210,15.0,True
GUBRF.IS,OK,7,1.1786,0.7757,0.4029,-8.3929,-2.9671,False,False,True,0.0,ON,753,326,413,190,190,15.0,True
HEKTS.IS,OK,7,-5.8129,-6.1714,0.3585,-16.5657,-15.6857,False,False,False,0.0,ON,753,454,287,142,142,15.0,True
ISCTR.IS,OK,7,1.1357,0.7186,0.4171,-7.8471,25.16,True,True,False,0.0,ON,753,311,432,193,193,15.0,True
KCHOL.IS,OK,7,-2.31,-2.7,0.39,-7.5571,3.5029,True,True,False,0.0,ON,753,320,422,209,209,15.0,True
KONTR.IS,OK,7,-13.7214,-14.0429,0.3215,-17.9257,-16.5514,False,False,False,0.0,ON,754,406,339,159,159,15.0,True
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,0,0,15.0,True
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,0,0,15.0,True
KRDMD.IS,OK,7,1.2043,0.7514,0.4529,-11.0871,-5.7029,False,False,False,0.0,ON,753,300,440,193,193,15.0,True
ODAS.IS,OK,7,0.8414,0.5443,0.2971,-6.5357,-21.7,False,False,True,0.0,ON,753,357,385,156,156,15.0,True
OYAKC.IS,OK,7,-0.5914,-0.9671,0.3757,-8.0386,-5.7414,False,False,False,0.0,ON,754,328,415,195,195,15.0,True
PETKM.IS,OK,7,2.9614,2.6157,0.3457,-6.1657,-11.3229,False,False,True,0.0,ON,753,357,384,198,198,15.0,True
PGSUS.IS,OK,7,-4.7857,-5.0529,0.2672,-7.2443,-11.8957,False,False,False,0.0,ON,754,380,366,175,175,15.0,True
SAHOL.IS,OK,7,-2.2571,-2.5143,0.2572,-7.6214,31.51,True,True,False,0.0,ON,753,373,370,250,250,15.0,True
SASA.IS,OK,7,-1.0571,-1.3429,0.2858,-6.6414,-15.81,False,False,False,0.0,ON,754,486,246,204,204,15.0,True
SISE.IS,OK,7,2.74,2.3529,0.3871,-6.5757,-2.7757,False,False,True,0.0,ON,753,348,398,163,163,15.0,True
TAVHL.IS,OK,7,0.79,0.4443,0.3457,-6.8943,34.4257,True,True,False,0.0,ON,753,330,410,231,231,15.0,True
TCELL.IS,OK,7,-0.9143,-1.1014,0.1871,-4.0986,-4.5871,False,False,False,0.0,ON,753,342,400,221,221,15.0,True
THYAO.IS,OK,7,-3.8571,-4.2129,0.3558,-7.6929,-2.2786,False,False,False,0.0,ON,753,364,379,226,226,15.0,True
TOASO.IS,OK,7,1.3514,0.9743,0.3771,-6.9229,19.7171,True,True,False,0.0,ON,753,358,387,234,234,15.0,True
TUPRS.IS,OK,7,4.54,4.1014,0.4386,-5.3929,7.45,False,False,True,0.0,ON,753,329,411,204,204,15.0,True
