ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,buy_threshold,total_oos_trades,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,obv_divergence_cap,mtf_confluence_block_enabled
AKBNK.IS,OK,7,4.5614,4.1343,0.4271,-7.9143,12.64,True,True,False,18.0,11,0.0,ON,753,325,417,230,230,15.0,True
ARCLK.IS,OK,7,-1.2986,-1.6271,0.3285,-6.7443,-10.1771,False,False,False,18.0,9,0.0,ON,753,410,331,204,204,15.0,True
ASELS.IS,OK,7,13.3214,12.7386,0.5828,-8.2329,66.3014,True,True,False,18.0,14,0.0,ON,753,289,451,87,87,15.0,True
ASTOR.IS,OK,7,5.67,5.04,0.63,-10.3529,-17.2329,False,False,False,18.0,16,0.0,ON,753,304,439,174,174,15.0,True
BIMAS.IS,OK,8,-1.595,-2.115,0.52,-9.7987,-6.935,False,False,False,18.0,16,0.0,ON,756,336,411,139,139,15.0,True
EKGYO.IS,OK,7,-4.4529,-4.9114,0.4585,-14.0629,2.4686,True,True,False,18.0,14,0.0,ON,753,273,470,278,278,15.0,True
ENKAI.IS,OK,7,1.2429,0.8,0.4429,-10.4871,9.2443,True,True,False,18.0,12,0.0,ON,753,329,415,145,145,15.0,True
EREGL.IS,OK,7,0.0686,-0.38,0.4486,-10.3057,-3.4729,False,False,False,18.0,12,0.0,ON,754,333,409,180,180,15.0,True
FROTO.IS,OK,7,-2.4357,-2.9086,0.4729,-8.1729,-6.4271,False,False,False,18.0,13,0.0,ON,754,415,330,178,178,15.0,True
GARAN.IS,OK,7,6.92,6.2971,0.6229,-7.7643,23.12,True,True,False,18.0,16,0.0,ON,753,332,412,210,210,15.0,True
GUBRF.IS,OK,7,3.6971,3.2,0.4971,-8.5786,29.5743,True,True,False,18.0,13,0.0,ON,753,326,413,190,190,15.0,True
HEKTS.IS,OK,7,-8.5657,-8.9686,0.4029,-17.5343,-48.82,False,False,False,18.0,12,0.0,ON,753,454,287,142,142,15.0,True
ISCTR.IS,OK,7,2.6271,2.1814,0.4457,-9.6186,22.0343,True,True,False,18.0,12,0.0,ON,753,311,432,193,193,15.0,True
KCHOL.IS,OK,7,-2.3686,-2.8214,0.4528,-9.6614,-0.32,False,True,False,18.0,13,0.0,ON,753,320,422,209,209,15.0,True
KONTR.IS,OK,7,-12.64,-13.2486,0.6086,-23.5129,-27.6643,False,False,False,18.0,19,0.0,ON,754,406,339,159,159,15.0,True
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,18.0,0,0.0,ON,0,0,0,0,0,15.0,True
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,18.0,0,0.0,ON,0,0,0,0,0,15.0,True
KRDMD.IS,OK,7,2.5514,2.0629,0.4885,-13.0543,13.2829,True,True,False,18.0,13,0.0,ON,753,300,440,193,193,15.0,True
ODAS.IS,OK,7,-5.2986,-5.7543,0.4557,-11.0486,-22.0286,False,False,False,18.0,13,0.0,ON,753,357,385,156,156,15.0,True
OYAKC.IS,OK,7,3.9771,3.3971,0.58,-11.1471,27.5429,True,True,False,18.0,15,0.0,ON,754,328,415,195,195,15.0,True
PETKM.IS,OK,7,4.9771,4.5829,0.3942,-8.5271,-13.5243,False,False,True,18.0,10,0.0,ON,753,357,384,198,198,15.0,True
PGSUS.IS,OK,7,-1.8386,-2.2629,0.4243,-9.0471,-1.8729,False,False,False,18.0,12,0.0,ON,754,380,366,175,175,15.0,True
SAHOL.IS,OK,7,0.9814,0.5257,0.4557,-8.3971,6.51,True,True,False,18.0,12,0.0,ON,753,373,370,250,250,15.0,True
SASA.IS,OK,7,-4.5986,-5.1214,0.5228,-12.2329,-18.8657,False,False,False,18.0,15,0.0,ON,754,486,246,204,204,15.0,True
SISE.IS,OK,7,0.2543,-0.33,0.5843,-9.5414,-8.9129,False,False,False,18.0,16,0.0,ON,753,348,398,163,163,15.0,True
TAVHL.IS,OK,7,-3.6086,-3.9886,0.38,-10.7586,39.9657,True,True,False,18.0,11,0.0,ON,753,330,410,231,231,15.0,True
TCELL.IS,OK,7,1.09,0.9357,0.1543,-3.0986,10.8129,True,True,False,18.0,4,0.0,ON,753,342,400,221,221,15.0,True
THYAO.IS,OK,7,-0.84,-1.3157,0.4757,-8.4186,-1.29,False,True,False,18.0,13,0.0,ON,753,364,379,226,226,15.0,True
TOASO.IS,OK,7,3.4871,3.0729,0.4142,-7.0086,10.7929,True,True,False,18.0,11,0.0,ON,753,358,387,234,234,15.0,True
TUPRS.IS,OK,7,3.2157,2.5886,0.6271,-8.94,1.5586,False,False,True,18.0,17,0.0,ON,753,329,411,204,204,15.0,True
