ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,counter_trend_multiplier,gates
AKBNK.IS,OK,7,3.8829,3.6043,0.2786,-4.36,28.7286,True,True,False,0.0,ON
ARCLK.IS,OK,7,-3.0886,-3.34,0.2514,-6.2014,-9.8057,False,False,False,0.0,ON
ASELS.IS,OK,7,8.9686,8.3729,0.5957,-8.38,31.8214,True,True,False,0.0,ON
ASTOR.IS,OK,7,8.6286,8.0629,0.5657,-8.85,0.9286,False,False,True,0.0,ON
BIMAS.IS,OK,8,-1.6838,-2.1688,0.485,-7.7,2.1713,True,True,False,0.0,ON
EKGYO.IS,OK,7,4.2186,3.8386,0.38,-9.0286,12.6386,True,True,False,0.0,ON
ENKAI.IS,OK,7,1.1557,0.7443,0.4114,-9.6029,9.4257,True,True,False,0.0,ON
EREGL.IS,OK,7,0.6986,0.2514,0.4472,-8.6643,3.0686,True,True,False,0.0,ON
FROTO.IS,OK,7,-3.8629,-4.3714,0.5085,-9.0543,-0.0729,False,True,False,0.0,ON
GARAN.IS,OK,7,1.32,0.9086,0.4114,-8.0357,20.4771,True,True,False,0.0,ON
GUBRF.IS,OK,7,1.1843,0.7757,0.4086,-8.4014,1.5857,True,True,False,0.0,ON
HEKTS.IS,OK,7,-4.43,-4.9571,0.5271,-18.0114,-18.0571,False,False,False,0.0,ON
ISCTR.IS,OK,7,1.1357,0.7186,0.4171,-7.8471,27.0629,True,True,False,0.0,ON
KCHOL.IS,OK,7,-1.9357,-2.3686,0.4329,-8.7443,0.8886,True,True,False,0.0,ON
KONTR.IS,OK,7,-17.39,-17.8157,0.4257,-23.6557,-22.5571,False,False,False,0.0,ON
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON
KRDMD.IS,OK,7,0.84,0.35,0.49,-11.1357,0.01,False,True,False,0.0,ON
ODAS.IS,OK,7,-0.4786,-0.8443,0.3657,-7.8986,-17.0871,False,False,False,0.0,ON
OYAKC.IS,OK,7,-0.5914,-0.9671,0.3757,-8.0386,-2.1629,False,False,False,0.0,ON
PETKM.IS,OK,7,2.7814,2.3629,0.4185,-6.4186,-8.5143,False,False,True,0.0,ON
PGSUS.IS,OK,7,-6.8071,-7.1757,0.3686,-10.0343,-10.0743,False,False,False,0.0,ON
SAHOL.IS,OK,7,-2.4129,-2.7429,0.33,-8.1543,44.2429,True,True,False,0.0,ON
SASA.IS,OK,7,2.2257,1.7786,0.4471,-8.1071,-7.3757,False,False,True,0.0,ON
SISE.IS,OK,7,2.6386,2.0971,0.5415,-6.9471,-0.9457,False,False,True,0.0,ON
TAVHL.IS,OK,7,3.6757,3.2457,0.43,-7.6157,26.8857,True,True,False,0.0,ON
TCELL.IS,OK,7,0.29,0.0286,0.2614,-6.0157,-2.9886,False,False,True,0.0,ON
THYAO.IS,OK,7,-1.6457,-2.05,0.4043,-7.9214,-4.4571,False,False,False,0.0,ON
TOASO.IS,OK,7,2.7257,2.2971,0.4286,-6.9243,13.04,True,True,False,0.0,ON
TUPRS.IS,OK,7,5.3871,4.9114,0.4757,-5.4257,15.44,True,True,False,0.0,ON
