ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,obv_divergence_cap
AKBNK.IS,OK,7,3.8829,3.6043,0.2786,-4.36,28.4,True,True,False,0.0,ON,753,325,417,25.0
ARCLK.IS,OK,7,-3.0886,-2.8286,-0.26,-5.0014,-10.6286,False,False,False,0.0,ON,753,410,331,25.0
ASELS.IS,OK,7,8.9686,8.3729,0.5957,-8.38,29.42,True,True,False,0.0,ON,753,289,451,25.0
ASTOR.IS,OK,7,8.6286,7.9271,0.7015,-9.2914,-9.0286,False,False,True,0.0,ON,753,304,439,25.0
BIMAS.IS,OK,8,-1.6838,-2.125,0.4412,-7.7,2.175,True,True,False,0.0,ON,756,336,411,25.0
EKGYO.IS,OK,7,4.2186,3.8386,0.38,-9.0286,1.55,False,True,True,0.0,ON,753,273,470,25.0
ENKAI.IS,OK,7,1.1557,0.7443,0.4114,-9.6029,9.4257,True,True,False,0.0,ON,753,329,415,25.0
EREGL.IS,OK,7,0.6986,0.2514,0.4472,-8.6643,3.0757,True,True,False,0.0,ON,754,333,409,25.0
FROTO.IS,OK,7,-3.8629,-3.8543,-0.0086,-8.4243,-0.1843,False,True,False,0.0,ON,754,415,330,25.0
GARAN.IS,OK,7,1.32,0.9086,0.4114,-8.0357,16.9443,True,True,False,0.0,ON,753,332,412,25.0
GUBRF.IS,OK,7,1.1843,0.7757,0.4086,-8.4014,6.0171,True,True,False,0.0,ON,753,326,413,25.0
HEKTS.IS,OK,7,-4.43,-5.1986,0.7686,-18.0114,-15.1157,False,False,False,0.0,ON,753,454,287,25.0
ISCTR.IS,OK,7,1.1357,0.7186,0.4171,-7.8471,27.6043,True,True,False,0.0,ON,753,311,432,25.0
KCHOL.IS,OK,7,-1.9357,-2.3686,0.4329,-8.7443,0.7643,True,True,False,0.0,ON,753,320,422,25.0
KONTR.IS,OK,7,-17.39,-17.8157,0.4257,-23.6557,-20.6371,False,False,False,0.0,ON,754,406,339,25.0
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,25.0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,25.0
KRDMD.IS,OK,7,0.84,0.35,0.49,-11.1357,-2.3429,False,True,False,0.0,ON,753,300,440,25.0
ODAS.IS,OK,7,-0.4786,-0.8443,0.3657,-7.8986,-17.0871,False,False,False,0.0,ON,753,357,385,25.0
OYAKC.IS,OK,7,-0.5914,-0.9671,0.3757,-8.0386,-7.1429,False,False,False,0.0,ON,754,328,415,25.0
PETKM.IS,OK,7,2.7814,2.3629,0.4185,-6.4186,-9.5857,False,False,True,0.0,ON,753,357,384,25.0
PGSUS.IS,OK,7,-6.8071,-7.1757,0.3686,-10.0343,-11.2,False,False,False,0.0,ON,754,380,366,25.0
SAHOL.IS,OK,7,-2.4129,-2.2786,-0.1343,-7.69,45.2371,True,True,False,0.0,ON,753,373,370,25.0
SASA.IS,OK,7,2.2257,1.6071,0.6186,-8.6429,-6.9614,False,False,True,0.0,ON,754,486,246,25.0
SISE.IS,OK,7,2.6386,2.0971,0.5415,-6.9471,-3.2886,False,False,True,0.0,ON,753,348,398,25.0
TAVHL.IS,OK,7,3.6757,3.2457,0.43,-7.6157,25.13,True,True,False,0.0,ON,753,330,410,25.0
TCELL.IS,OK,7,0.29,0.0286,0.2614,-6.0157,0.5429,True,False,False,0.0,ON,753,342,400,25.0
THYAO.IS,OK,7,-1.6457,-2.6829,1.0372,-7.9043,-5.8229,False,False,False,0.0,ON,753,364,379,25.0
TOASO.IS,OK,7,2.7257,1.2114,1.5143,-6.9243,14.1314,True,True,False,0.0,ON,753,358,387,25.0
TUPRS.IS,OK,7,5.3871,4.9114,0.4757,-5.4257,15.44,True,True,False,0.0,ON,753,329,411,25.0
