ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,obv_divergence_cap,mtf_confluence_block_enabled
AKBNK.IS,OK,7,3.8829,3.6043,0.2786,-4.36,17.2429,True,True,False,0.0,ON,753,325,417,230,0,15.0,False
ARCLK.IS,OK,7,-2.5471,-2.69,0.1429,-3.7229,-9.5,False,False,False,0.0,ON,753,410,331,204,0,15.0,False
ASELS.IS,OK,7,12.2386,11.67,0.5686,-7.2771,38.8629,True,True,False,0.0,ON,753,289,451,87,0,15.0,False
ASTOR.IS,OK,7,6.2986,5.8186,0.48,-8.5029,-6.1671,False,False,True,0.0,ON,753,304,439,174,0,15.0,False
BIMAS.IS,OK,8,-2.2388,-2.655,0.4162,-7.4537,3.1625,True,True,False,0.0,ON,756,336,411,139,0,15.0,False
EKGYO.IS,OK,7,0.8514,0.4886,0.3628,-9.2714,-4.9843,False,False,True,0.0,ON,753,273,470,278,0,15.0,False
ENKAI.IS,OK,7,0.9886,0.5757,0.4129,-9.6014,1.2314,True,True,False,0.0,ON,753,329,415,145,0,15.0,False
EREGL.IS,OK,7,-1.2357,-1.5686,0.3329,-7.64,6.92,True,True,False,0.0,ON,754,333,409,180,0,15.0,False
FROTO.IS,OK,7,-1.8743,-2.3229,0.4486,-5.9443,-7.7186,False,False,False,0.0,ON,754,415,330,178,0,15.0,False
GARAN.IS,OK,7,2.2029,1.8286,0.3743,-7.6871,14.2014,True,True,False,0.0,ON,753,332,412,210,0,15.0,False
GUBRF.IS,OK,7,1.1786,0.7757,0.4029,-8.3929,-3.9586,False,False,True,0.0,ON,753,326,413,190,0,15.0,False
HEKTS.IS,OK,7,-5.0914,-5.5043,0.4129,-16.5657,-17.9743,False,False,False,0.0,ON,753,454,287,142,0,15.0,False
ISCTR.IS,OK,7,1.1357,0.7186,0.4171,-7.8471,26.7743,True,True,False,0.0,ON,753,311,432,193,0,15.0,False
KCHOL.IS,OK,7,-2.31,-2.7,0.39,-7.5571,0.5714,True,True,False,0.0,ON,753,320,422,209,0,15.0,False
KONTR.IS,OK,7,-13.7629,-14.0843,0.3214,-17.9657,-19.9671,False,False,False,0.0,ON,754,406,339,159,0,15.0,False
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,0,0,15.0,False
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,0,0,15.0,False
KRDMD.IS,OK,7,1.2043,0.7514,0.4529,-11.0871,-1.8914,False,False,False,0.0,ON,753,300,440,193,0,15.0,False
ODAS.IS,OK,7,0.8414,0.5443,0.2971,-6.5357,-21.0014,False,False,True,0.0,ON,753,357,385,156,0,15.0,False
OYAKC.IS,OK,7,-0.5914,-0.9671,0.3757,-8.0386,-2.8771,False,False,False,0.0,ON,754,328,415,195,0,15.0,False
PETKM.IS,OK,7,2.9614,2.6157,0.3457,-6.1657,-10.3229,False,False,True,0.0,ON,753,357,384,198,0,15.0,False
PGSUS.IS,OK,7,-4.7857,-5.0529,0.2672,-7.2443,-12.5914,False,False,False,0.0,ON,754,380,366,175,0,15.0,False
SAHOL.IS,OK,7,-2.2571,-2.5143,0.2572,-7.6214,32.8129,True,True,False,0.0,ON,753,373,370,250,0,15.0,False
SASA.IS,OK,7,-0.1886,-0.5143,0.3257,-7.2157,-18.28,False,False,False,0.0,ON,754,486,246,204,0,15.0,False
SISE.IS,OK,7,2.74,2.3529,0.3871,-6.5757,-2.3043,False,False,True,0.0,ON,753,348,398,163,0,15.0,False
TAVHL.IS,OK,7,0.79,0.4443,0.3457,-6.8943,32.2043,True,True,False,0.0,ON,753,330,410,231,0,15.0,False
TCELL.IS,OK,7,-0.9143,-1.1014,0.1871,-4.0986,0.5471,True,True,False,0.0,ON,753,342,400,221,0,15.0,False
THYAO.IS,OK,7,-3.8143,-4.2057,0.3914,-7.9143,-4.5971,False,False,False,0.0,ON,753,364,379,226,0,15.0,False
TOASO.IS,OK,7,1.3514,0.9743,0.3771,-6.9229,14.16,True,True,False,0.0,ON,753,358,387,234,0,15.0,False
TUPRS.IS,OK,7,4.7943,4.32,0.4743,-5.5371,15.7971,True,True,False,0.0,ON,753,329,411,204,0,15.0,False
