ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,counter_trend_multiplier,gates,rows
AKBNK.IS,OK,7,3.8829,0.0,-4.2714,27.6243,30.7657,True,0.0,ON,753
ARCLK.IS,OK,7,-3.0886,-2.4,-6.1329,-0.4671,-8.7143,False,0.0,ON,753
ASELS.IS,OK,7,8.9686,10.21,-8.2343,29.7843,34.2329,True,0.0,ON,753
ASTOR.IS,OK,7,8.6286,3.38,-8.7371,1.3286,2.7514,False,0.0,ON,753
BIMAS.IS,OK,8,-1.6838,-0.075,-7.535,-7.7037,3.4937,True,0.0,ON,756
EKGYO.IS,OK,7,4.2186,9.52,-8.8514,-71.3929,15.1043,True,0.0,ON,753
ENKAI.IS,OK,7,1.1557,-1.41,-9.4514,-2.68,11.1657,True,0.0,ON,753
EREGL.IS,OK,7,0.6986,-3.24,-8.5329,-23.0286,4.9171,True,0.0,ON,754
FROTO.IS,OK,7,-3.8629,-3.63,-8.79,-13.5486,1.6914,True,0.0,ON,754
GARAN.IS,OK,7,1.32,3.71,-7.92,0.9986,22.7143,True,0.0,ON,753
GUBRF.IS,OK,7,1.1843,0.0,-8.27,-2.8571,3.1771,True,0.0,ON,753
HEKTS.IS,OK,7,-4.43,-3.71,-17.8143,-34.8357,-16.9129,False,0.0,ON,753
ISCTR.IS,OK,7,1.1357,0.63,-7.6957,-1.4029,29.2371,True,0.0,ON,753
KCHOL.IS,OK,7,-1.9357,-7.05,-8.5886,-59.6871,2.7157,True,0.0,ON,753
KONTR.IS,OK,7,-17.39,-10.0,-23.4114,-12.2943,-21.3771,False,0.0,ON,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,ON,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,ON,0
KRDMD.IS,OK,7,0.84,3.77,-10.9871,-5.1143,1.7314,True,0.0,ON,753
ODAS.IS,OK,7,-0.4786,-2.07,-7.7629,-56.8,-16.1557,False,0.0,ON,753
OYAKC.IS,OK,7,-0.5914,-3.7,-7.8243,-7.9443,-0.5414,False,0.0,ON,754
PETKM.IS,OK,7,2.7814,5.18,-6.2571,-6.8457,-7.1514,False,0.0,ON,753
PGSUS.IS,OK,7,-6.8071,-5.35,-9.7929,-88.2886,-8.6286,False,0.0,ON,754
SAHOL.IS,OK,7,-2.4129,-4.46,-8.0,1.65,47.4014,True,0.0,ON,753
SASA.IS,OK,7,2.2257,0.0,-7.9486,-11.9257,-5.9314,False,0.0,ON,754
SISE.IS,OK,7,2.6386,7.77,-6.7586,-97.0686,0.4971,False,0.0,ON,753
TAVHL.IS,OK,7,3.6757,4.24,-7.4971,4.0943,29.3014,True,0.0,ON,753
TCELL.IS,OK,7,0.29,0.0,-5.8971,-0.7171,-1.6271,False,0.0,ON,753
THYAO.IS,OK,7,-1.6457,-3.91,-7.7686,-12.4129,-3.4357,False,0.0,ON,753
TOASO.IS,OK,7,2.7257,1.32,-6.7957,5.1757,15.0343,True,0.0,ON,753
TUPRS.IS,OK,7,5.3871,3.48,-5.34,-6.9486,16.7757,True,0.0,ON,753
