ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,counter_trend_multiplier,obv_divergence_cap,gates,rows
AKBNK.IS,OK,7,3.8829,0.0,-4.2714,27.6243,19.13,True,0.0,20.0,ON,753
ARCLK.IS,OK,7,-2.5471,0.0,-3.69,0.0,-8.5114,False,0.0,20.0,ON,753
ASELS.IS,OK,7,12.2386,10.51,-7.1743,401.65,40.9929,True,0.0,20.0,ON,753
ASTOR.IS,OK,7,6.2986,3.38,-8.3771,45.8757,-4.9386,False,0.0,20.0,ON,753
BIMAS.IS,OK,8,-2.2388,-2.22,-7.2737,-7.4312,4.46,True,0.0,20.0,ON,756
EKGYO.IS,OK,7,0.8514,8.39,-9.06,-86.5429,-3.31,False,0.0,20.0,ON,753
ENKAI.IS,OK,7,0.9886,-1.41,-9.4529,-2.68,2.6586,True,0.0,20.0,ON,753
EREGL.IS,OK,7,-1.2357,-4.6,-7.5086,-0.6057,8.4129,True,0.0,20.0,ON,754
FROTO.IS,OK,7,-1.8743,-4.47,-5.7357,0.8471,-6.4057,False,0.0,20.0,ON,754
GARAN.IS,OK,7,2.2029,3.71,-7.5543,0.0743,16.0743,True,0.0,20.0,ON,753
GUBRF.IS,OK,7,1.1786,0.0,-8.2614,-2.8571,-2.5371,False,0.0,20.0,ON,753
HEKTS.IS,OK,7,-5.0914,-3.71,-16.4329,-1.8529,-17.1329,False,0.0,20.0,ON,753
ISCTR.IS,OK,7,1.1357,0.63,-7.6957,-1.4029,28.8257,True,0.0,20.0,ON,753
KCHOL.IS,OK,7,-2.31,0.0,-7.4043,-41.3343,2.2071,True,0.0,20.0,ON,753
KONTR.IS,OK,7,-13.7629,-9.77,-17.7614,-16.9957,-18.9971,False,0.0,20.0,ON,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,,ON,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,,ON,0
KRDMD.IS,OK,7,1.2043,4.04,-10.9414,-13.8571,-0.51,False,0.0,20.0,ON,753
ODAS.IS,OK,7,0.8414,0.0,-6.45,-53.3057,-20.2857,False,0.0,20.0,ON,753
OYAKC.IS,OK,7,-0.5914,-3.7,-7.8243,-7.9443,-1.3414,False,0.0,20.0,ON,754
PETKM.IS,OK,7,2.9614,5.18,-6.0314,-3.8686,-9.2714,False,0.0,20.0,ON,753
PGSUS.IS,OK,7,-4.7857,-1.98,-7.07,-24.5771,-11.3514,False,0.0,20.0,ON,754
SAHOL.IS,OK,7,-2.2571,-5.54,-7.5214,2.8771,35.3071,True,0.0,20.0,ON,753
SASA.IS,OK,7,-0.1886,-1.57,-7.0686,-3.0029,-17.2857,False,0.0,20.0,ON,754
SISE.IS,OK,7,2.74,7.77,-6.45,7.67,-1.0129,False,0.0,20.0,ON,753
TAVHL.IS,OK,7,0.79,0.0,-6.7943,1.1929,34.0186,True,0.0,20.0,ON,753
TCELL.IS,OK,7,-0.9143,0.0,-3.9929,2.7014,1.6771,True,0.0,20.0,ON,753
THYAO.IS,OK,7,-3.8143,-3.91,-7.7257,-18.9143,-3.55,False,0.0,20.0,ON,753
TOASO.IS,OK,7,1.3514,1.32,-6.7957,-1.3114,15.8057,True,0.0,20.0,ON,753
TUPRS.IS,OK,7,4.7943,2.04,-5.4514,-6.9486,17.0757,True,0.0,20.0,ON,753
