ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,buy_threshold,total_oos_trades,counter_trend_multiplier,obv_divergence_cap,gates,rows
AEFES.IS,OK,7,-1.3843,-5.73,-10.2586,-5.4829,13.8314,True,25.0,11,0.0,15.0,ON,754
AKBNK.IS,OK,7,2.5586,0.0,-3.5843,0.0,4.4643,False,25.0,4,0.0,15.0,ON,753
ASELS.IS,OK,7,10.66,10.36,-8.3743,49.8943,23.3357,True,25.0,14,0.0,15.0,ON,753
ASTOR.IS,OK,7,3.0857,0.0,-6.8229,40.7014,0.4929,False,25.0,8,0.0,15.0,ON,753
BIMAS.IS,OK,8,-3.2575,-2.59,-7.8013,-6.7837,-2.2263,False,25.0,12,0.0,15.0,ON,756
DSTKF.IS,OK,2,9.135,9.135,-5.075,0.995,94.625,True,25.0,3,0.0,15.0,ON,385
EKGYO.IS,OK,7,-3.7414,-7.79,-9.0957,-216.8914,-8.4629,False,25.0,8,0.0,15.0,ON,753
ENKAI.IS,OK,7,-0.2771,-1.13,-9.8643,-1.2443,-3.1386,False,25.0,10,0.0,15.0,ON,753
EREGL.IS,OK,7,-3.4071,-5.55,-7.89,-18.8257,-18.0771,False,25.0,11,0.0,15.0,ON,754
FROTO.IS,OK,7,-1.3157,-4.99,-5.5814,13.1557,-1.6843,False,25.0,10,0.0,15.0,ON,754
GARAN.IS,OK,7,1.9243,0.33,-7.6857,-2.0629,-4.0443,False,25.0,8,0.0,15.0,ON,753
GUBRF.IS,OK,7,2.2757,1.27,-6.2829,0.2143,22.2729,True,25.0,8,0.0,15.0,ON,753
ISCTR.IS,OK,7,0.3843,-0.37,-8.2929,-1.3957,16.9486,True,25.0,11,0.0,15.0,ON,753
KCHOL.IS,OK,7,-0.9257,0.0,-8.3386,-45.2143,-6.1957,False,25.0,12,0.0,15.0,ON,753
KRDMD.IS,OK,7,0.2129,-0.79,-12.2514,-16.2914,-0.7129,False,25.0,12,0.0,15.0,ON,753
MGROS.IS,OK,7,4.3829,4.24,-6.42,-8.3514,-5.1286,False,25.0,9,0.0,15.0,ON,751
PETKM.IS,OK,7,2.6671,4.61,-6.8486,0.8114,-11.95,False,25.0,8,0.0,15.0,ON,753
PGSUS.IS,OK,7,-5.6071,-5.23,-8.2671,-13.0043,-10.6043,False,25.0,10,0.0,15.0,ON,754
SAHOL.IS,OK,7,0.5157,0.0,-7.1971,12.0186,26.08,True,25.0,9,0.0,15.0,ON,753
SASA.IS,OK,7,-1.1371,-2.25,-6.9743,-3.4086,-17.4329,False,25.0,8,0.0,15.0,ON,754
SISE.IS,OK,7,0.8657,0.14,-6.7214,0.0843,-3.6186,False,25.0,9,0.0,15.0,ON,753
TAVHL.IS,OK,7,-2.7029,-6.74,-8.0271,4.1571,8.3714,True,25.0,9,0.0,15.0,ON,753
TCELL.IS,OK,7,-0.6914,0.0,-2.2114,0.0,6.47,True,25.0,3,0.0,15.0,ON,753
THYAO.IS,OK,7,-2.2471,-4.52,-8.0043,-8.0829,-0.8857,False,25.0,11,0.0,15.0,ON,753
TOASO.IS,OK,7,2.5029,0.0,-5.3814,-3.5443,6.2829,True,25.0,7,0.0,15.0,ON,753
TRALT.IS,OK,7,3.8214,0.0,-8.5771,5.0057,-2.94,False,25.0,8,0.0,15.0,ON,751
TTKOM.IS,OK,7,2.2843,-0.1,-9.2857,115.1171,15.1086,True,25.0,11,0.0,15.0,ON,751
TUPRS.IS,OK,7,4.1257,8.09,-7.1214,-1043.2686,8.2386,False,25.0,11,0.0,15.0,ON,753
VAKBN.IS,OK,7,5.0871,4.82,-6.2757,3.5,3.3914,False,25.0,10,0.0,15.0,ON,753
YKBNK.IS,OK,7,3.7414,1.0,-5.8843,0.23,32.4729,True,25.0,6,0.0,15.0,ON,751
