ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,buy_threshold,total_oos_trades,counter_trend_multiplier,obv_divergence_cap,gates,rows
AEFES.IS,OK,7,-3.3529,-5.73,-9.0857,-5.4829,11.45,True,25.0,10,0.0,15.0,ON,754
AKBNK.IS,OK,7,2.5586,0.0,-3.5843,0.0,0.6871,False,25.0,4,0.0,15.0,ON,753
ASELS.IS,OK,7,7.56,10.36,-7.5071,42.3557,21.0357,True,25.0,11,0.0,15.0,ON,753
ASTOR.IS,OK,7,3.0857,0.0,-6.8229,40.7014,3.5057,False,25.0,8,0.0,15.0,ON,753
BIMAS.IS,OK,8,-2.4075,-2.59,-7.1113,-5.6813,0.1225,True,25.0,11,0.0,15.0,ON,756
DSTKF.IS,OK,2,-10.275,-10.275,-15.235,0.0,74.92,True,25.0,2,0.0,15.0,ON,385
EKGYO.IS,OK,7,-2.7186,-7.58,-7.76,-12.39,-5.6943,False,25.0,7,0.0,15.0,ON,753
ENKAI.IS,OK,7,-0.4,-1.94,-9.2657,-1.25,-3.1386,False,25.0,10,0.0,15.0,ON,753
EREGL.IS,OK,7,-0.7743,-5.07,-5.8671,-5.0429,-11.2857,False,25.0,8,0.0,15.0,ON,754
FROTO.IS,OK,7,-1.8057,-4.99,-4.9371,13.1557,-5.29,False,25.0,9,0.0,15.0,ON,754
GARAN.IS,OK,7,2.8757,0.0,-5.2629,-2.0629,1.1014,False,25.0,6,0.0,15.0,ON,753
GUBRF.IS,OK,7,0.6971,0.25,-6.2829,0.2143,1.5957,True,25.0,7,0.0,15.0,ON,753
ISCTR.IS,OK,7,-0.1929,-0.37,-7.7843,-8.8571,16.4771,True,25.0,9,0.0,15.0,ON,753
KCHOL.IS,OK,7,-3.3314,0.0,-7.7129,-45.6971,-3.1043,False,25.0,10,0.0,15.0,ON,753
KRDMD.IS,OK,7,1.0229,2.96,-8.4329,-15.5914,0.7386,False,25.0,9,0.0,15.0,ON,753
MGROS.IS,OK,7,3.6471,3.59,-6.1314,1.3171,-8.5629,False,25.0,7,0.0,15.0,ON,751
PETKM.IS,OK,7,3.4443,4.61,-5.4829,0.8114,-6.8686,False,25.0,7,0.0,15.0,ON,753
PGSUS.IS,OK,7,-5.9071,-5.23,-7.7243,-13.0043,-11.6357,False,25.0,9,0.0,15.0,ON,754
SAHOL.IS,OK,7,0.31,0.0,-5.3157,1.0257,27.1,True,25.0,6,0.0,15.0,ON,753
SASA.IS,OK,7,-0.2529,0.0,-5.39,-3.4086,-18.0286,False,25.0,7,0.0,15.0,ON,754
SISE.IS,OK,7,0.8657,0.14,-6.7214,0.0843,-1.6229,False,25.0,9,0.0,15.0,ON,753
TAVHL.IS,OK,7,-2.7029,-6.74,-8.0271,4.1571,1.9486,True,25.0,9,0.0,15.0,ON,753
TCELL.IS,OK,7,-0.6914,0.0,-2.2114,0.0,2.7486,True,25.0,3,0.0,15.0,ON,753
THYAO.IS,OK,7,-2.6129,-4.9,-7.7643,-8.1271,1.6043,True,25.0,10,0.0,15.0,ON,753
TOASO.IS,OK,7,2.5029,0.0,-5.3814,-3.5443,8.3214,True,25.0,7,0.0,15.0,ON,753
TRALT.IS,OK,7,2.8743,0.0,-8.5771,0.2543,-2.1957,False,25.0,7,0.0,15.0,ON,751
TTKOM.IS,OK,7,0.8314,-0.1,-9.19,0.7243,12.3471,True,25.0,9,0.0,15.0,ON,751
TUPRS.IS,OK,7,4.1257,8.09,-7.1214,-1043.2686,6.55,False,25.0,11,0.0,15.0,ON,753
VAKBN.IS,OK,7,3.4186,1.48,-5.37,3.5,3.7414,False,25.0,9,0.0,15.0,ON,753
YKBNK.IS,OK,7,3.7414,1.0,-5.8843,0.23,17.4329,True,25.0,6,0.0,15.0,ON,751
